seed,condition,hardening,original_all_correct_ticks,fresh_all_correct_ticks,all_zero_correct_ticks,all_one_correct_ticks,universal_status,certified_visible_settling_tick,mixed_cycle_initialization_count,unresolved_trajectory_count,visible_core_binary_nodes
0,categorical_no_decay,common,,,,,inconclusive,,0,0,18
0,categorical_no_decay,native,,,,,inconclusive,,0,0,18
0,categorical_reference_decay,common,64;128;256,64;128;256,32;64;128;256,32;64;128;256,all_initial_states_visible_target_certified,34,0,0,3
0,categorical_reference_decay,native,64;128;256,64;128;256,32;64;128;256,32;64;128;256,all_initial_states_visible_target_certified,34,0,0,3
0,truth_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,169
0,truth_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,169
0,truth_reference_decay,common,64;128;256,64;128;256,32;64;128;256,64;128;256,inconclusive,,0,0,120
0,truth_reference_decay,native,64;128;256,64;128;256,32;64;128;256,64;128;256,inconclusive,,0,0,120
1,categorical_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,14
1,categorical_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,14
1,categorical_reference_decay,common,,,,,persistent_visible_failure_certified,,0,0,12
1,categorical_reference_decay,native,,,,,persistent_visible_failure_certified,,0,0,12
1,truth_no_decay,common,,,,,inconclusive,,0,0,150
1,truth_no_decay,native,,,,,inconclusive,,0,0,150
1,truth_reference_decay,common,,,,,persistent_visible_failure_certified,,0,0,166
1,truth_reference_decay,native,,,,,persistent_visible_failure_certified,,0,0,166
2,categorical_no_decay,common,,,,,inconclusive,,0,0,21
2,categorical_no_decay,native,,,,,inconclusive,,0,0,21
2,categorical_reference_decay,common,,,,,inconclusive,,0,4,32
2,categorical_reference_decay,native,,,,,inconclusive,,0,4,32
2,truth_no_decay,common,,,,,inconclusive,,0,0,74
2,truth_no_decay,native,,,,,inconclusive,,0,0,74
2,truth_reference_decay,common,64;128;256,64;128;256,,64;128;256,inconclusive,,66,0,83
2,truth_reference_decay,native,64;128;256,64;128;256,,64;128;256,inconclusive,,66,0,83
3,categorical_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,9
3,categorical_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,9
